
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="",="",="",="(0.384)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_var_ch",="",="",="",="-0.161",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.283)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_var_ch",="",="",="",="-0.429",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.292)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_var_ch",="",="",="",="-0.574",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.277)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L5.Q9_var_ch",="",="",="",="-0.219",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.297)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.Q9_disg",="",="",="",="",="0.883*",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.370)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_disg",="",="",="",="",="-0.871",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.483)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_disg",="",="",="",="",="0.529",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.567)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_disg",="",="",="",="",="-0.488",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.443)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L5.Q9_disg",="",="",="",="",="0.147",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.323)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="L.Q9_disg_ch",="",="",="",="",="",="0.398",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.386)",="",="",="",="",="",="",="",="",="",="",="",=""

="L2.Q9_disg_ch",="",="",="",="",="",="-0.696",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.382)",="",="",="",="",="",="",="",="",="",="",="",=""

="L3.Q9_disg_ch",="",="",="",="",="",="0.436",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.462)",="",="",="",="",="",="",="",="",="",="",="",=""

="L4.Q9_disg_ch",="",="",="",="",="",="-0.560",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.358)",="",="",="",="",="",="",="",="",="",="",="",=""

="L5.Q9_disg_ch",="",="",="",="",="",="0.320",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.394)",="",="",="",="",="",="",="",="",="",="",="",=""

="L.CPI1y",="",="",="",="",="",="",="0.880***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.161)",="",="",="",="",="",="",="",="",="",="",=""

="L2.CPI1y",="",="",="",="",="",="",="-0.315",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.211)",="",="",="",="",="",="",="",="",="",="",=""

="L3.CPI1y",="",="",="",="",="",="",="0.157",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.211)",="",="",="",="",="",="",="",="",="",="",=""

="L4.CPI1y",="",="",="",="",="",="",="0.0830",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.206)",="",="",="",="",="",="",="",="",="",="",=""

="L5.CPI1y",="",="",="",="",="",="",="-0.0867",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.156)",="",="",="",="",="",="",="",="",="",="",=""

="L.CPI1y_ch",="",="",="",="",="",="",="",="0.0496",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.152)",="",="",="",="",="",="",="",="",="",=""

="L2.CPI1y_ch",="",="",="",="",="",="",="",="-0.378*",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.150)",="",="",="",="",="",="",="",="",="",=""

="L3.CPI1y_ch",="",="",="",="",="",="",="",="-0.00238",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.156)",="",="",="",="",="",="",="",="",="",=""

="L4.CPI1y_ch",="",="",="",="",="",="",="",="-0.0131",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.149)",="",="",="",="",="",="",="",="",="",=""

="L5.CPI1y_ch",="",="",="",="",="",="",="",="0.0508",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.148)",="",="",="",="",="",="",="",="",="",=""

="L.PCE1y",="",="",="",="",="",="",="",="",="1.114***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.157)",="",="",="",="",="",="",="",="",=""

="L2.PCE1y",="",="",="",="",="",="",="",="",="-0.563*",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.240)",="",="",="",="",="",="",="",="",=""

="L3.PCE1y",="",="",="",="",="",="",="",="",="0.211",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.253)",="",="",="",="",="",="",="",="",=""

="L4.PCE1y",="",="",="",="",="",="",="",="",="0.0558",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.238)",="",="",="",="",="",="",="",="",=""

="L5.PCE1y",="",="",="",="",="",="",="",="",="-0.143",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.154)",="",="",="",="",="",="",="",="",=""

="L.PCE1y_ch",="",="",="",="",="",="",="",="",="",="0.262",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.162)",="",="",="",="",="",="",="",=""

="L2.PCE1y_ch",="",="",="",="",="",="",="",="",="",="-0.356*",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.169)",="",="",="",="",="",="",="",=""

="L3.PCE1y_ch",="",="",="",="",="",="",="",="",="",="-0.0347",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.177)",="",="",="",="",="",="",="",=""

="L4.PCE1y_ch",="",="",="",="",="",="",="",="",="",="0.0215",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.168)",="",="",="",="",="",="",="",=""

="L5.PCE1y_ch",="",="",="",="",="",="",="",="",="",="-0.100",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.162)",="",="",="",="",="",="",="",=""

="L.CORECPI1y",="",="",="",="",="",="",="",="",="",="",="1.106***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.162)",="",="",="",="",="",="",=""

="L2.CORECPI1y",="",="",="",="",="",="",="",="",="",="",="-0.404",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.241)",="",="",="",="",="",="",=""

="L3.CORECPI1y",="",="",="",="",="",="",="",="",="",="",="0.226",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.247)",="",="",="",="",="",="",=""

="L4.CORECPI1y",="",="",="",="",="",="",="",="",="",="",="0.00119",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.242)",="",="",="",="",="",="",=""

="L5.CORECPI1y",="",="",="",="",="",="",="",="",="",="",="-0.0888",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.163)",="",="",="",="",="",="",=""

="L.CORECPI1y_ch",="",="",="",="",="",="",="",="",="",="",="",="0.176",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.162)",="",="",="",="",="",=""

="L2.CORECPI1y_ch",="",="",="",="",="",="",="",="",="",="",="",="-0.237",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.165)",="",="",="",="",="",=""

="L3.CORECPI1y_ch",="",="",="",="",="",="",="",="",="",="",="",="0.0512",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.169)",="",="",="",="",="",=""

="L4.CORECPI1y_ch",="",="",="",="",="",="",="",="",="",="",="",="-0.00412",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.165)",="",="",="",="",="",=""

="L5.CORECPI1y_ch",="",="",="",="",="",="",="",="",="",="",="",="0.102",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.165)",="",="",="",="",="",=""

="L.COREPCE1y",="",="",="",="",="",="",="",="",="",="",="",="",="1.148***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.160)",="",="",="",="",=""

="L2.COREPCE1y",="",="",="",="",="",="",="",="",="",="",="",="",="-0.445",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.245)",="",="",="",="",=""

="L3.COREPCE1y",="",="",="",="",="",="",="",="",="",="",="",="",="0.218",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.252)",="",="",="",="",=""

="L4.COREPCE1y",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0942",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.243)",="",="",="",="",=""

="L5.COREPCE1y",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0360",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.161)",="",="",="",="",=""

="L.COREPCE1y_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.244",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.165)",="",="",="",=""

="L2.COREPCE1y_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.222",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.169)",="",="",="",=""

="L3.COREPCE1y_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0502",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.173)",="",="",="",=""

="L4.COREPCE1y_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0710",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.169)",="",="",="",=""

="L5.COREPCE1y_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0116",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.166)",="",="",="",=""

="L.PRCCPIVar1mean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0638",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.200)",="",="",=""

="L2.PRCCPIVar1mean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0113",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.190)",="",="",=""

="L3.PRCCPIVar1mean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.136",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.186)",="",="",=""

="L4.PRCCPIVar1mean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.320",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.184)",="",="",=""

="L5.PRCCPIVar1mean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.118",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.191)",="",="",=""

="L.PRCCPIVar1mean_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.880***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.197)",="",=""

="L2.PRCCPIVar1mean_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.822**",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.251)",="",=""

="L3.PRCCPIVar1mean_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.597*",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.270)",="",=""

="L4.PRCCPIVar1mean_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.196",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.247)",="",=""

="L5.PRCCPIVar1mean_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0305",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.194)",="",=""

="L.PRCPCEVar1mean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.410*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.162)",=""

="L2.PRCPCEVar1mean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0903",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.168)",=""

="L3.PRCPCEVar1mean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0148",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.173)",=""

="L4.PRCPCEVar1mean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.373*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.176)",=""

="L5.PRCPCEVar1mean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0968",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.187)",=""

="L.PRCPCEVar1mean_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.544**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.162)"

="L2.PRCPCEVar1mean_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.512*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.191)"

="L3.PRCPCEVar1mean_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.527*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.199)"

="L4.PRCPCEVar1mean_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.157"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.200)"

="L5.PRCPCEVar1mean_ch",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.272"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.183)"

="_cons",="2.504",="0.0242",="31.69*",="-0.134",="17.97",="-0.336",="0.573*",="-0.0100",="0.586**",="-0.00763",="0.310",="-0.000795",="0.359*",="-0.00231",="0.0362",="0.00513",="0.0218",="0.00476"
="",="(1.285)",="(0.0605)",="(9.505)",="(0.319)",="(11.96)",="(0.708)",="(0.281)",="(0.0257)",="(0.207)",="(0.0216)",="(0.180)",="(0.0239)",="(0.167)",="(0.0210)",="(0.0263)",="(0.00565)",="(0.0155)",="(0.00426)"

="N",="13",="12",="13",="12",="13",="12",="44",="43",="44",="43",="44",="43",="44",="43",="44",="43",="44",="43"
="R-sq",="0.456",="0.347",="0.700",="0.450",="0.549",="0.449",="0.556",="0.166",="0.688",="0.169",="0.774",="0.084",="0.767",="0.082",="0.139",="0.392",="0.376",="0.355"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
